priority,category,check_status,domain,url,occurrence_count,source_count,source_files,check_method
A,Google系資料・旧サイト,未実施,sites.google.com,https://sites.google.com/view/ptatekiseika/課題と提言/公立学校におけるpta業務の職務専念義務免除運用の法理的破綻と組織的完全分離に関する緊急提言書,1,1,data/migration-pages.json,公開範囲・閲覧権限・移植後の要否を確認
A,Google系資料・旧サイト,未実施,sites.google.com,https://sites.google.com/view/ptatekiseika/課題と提言/委任があれば校務,1,1,data/migration-pages.json,公開範囲・閲覧権限・移植後の要否を確認
A,Google系資料・旧サイト,未実施,sites.google.com,https://sites.google.com/view/ptatekiseika/課題と提言/学校徴収金管理及びpta業務代行における法的整合性の-欠落と構造的違法性に関する包括的研究報告書,1,1,data/migration-pages.json,公開範囲・閲覧権限・移植後の要否を確認
A,Google系資料・旧サイト,未実施,sites.google.com,https://sites.google.com/view/ptatekiseika/課題と提言/校務分掌とpta業務,1,1,data/migration-pages.json,公開範囲・閲覧権限・移植後の要否を確認
B,民間・団体・報道,未実施,sukusuku.tokyo-np.co.jp,https://sukusuku.tokyo-np.co.jp/education/56217/,4,2,journal/lpsa-art35.html / research.html,補助資料として位置付け、リンク切れ確認
B,CDN・地図・フォント,未実施,unpkg.com,https://unpkg.com/leaflet@1.9.4/dist/leaflet.css,2,2,map.html / responses.html,読み込み可否と外部依存リスクを確認
B,CDN・地図・フォント,未実施,unpkg.com,https://unpkg.com/leaflet@1.9.4/dist/leaflet.js,2,2,map.html / responses.html,読み込み可否と外部依存リスクを確認
A,自治体・公的機関,未実施,www.city.kawasaki.jp,https://www.city.kawasaki.jp/templates/outline/cmsfiles/contents/0000140/140964/R6.4.1PTAyoukou.pdf,2,2,journal/lpsa-art35.html / research.html,公開前にHTTP到達・資料名・取得日を確認
B,民間・団体・報道,未実施,www.jichiro.gr.jp,https://www.jichiro.gr.jp/jichiken_kako/report/rep_aichi33/11/1107_jre/index.htm,2,2,journal/lpsa-art35.html / research.html,補助資料として位置付け、リンク切れ確認
A,一次資料・公的機関,未実施,www.mext.go.jp,https://www.mext.go.jp/a_menu/shotou/uneishien/detail/1416970_00001.htm,4,2,journal/work-style-reform.html / research.html,公開前にHTTP到達・資料名・取得日を確認
A,一次資料・公的機関,未実施,www.mext.go.jp,https://www.mext.go.jp/b_menu/shingi/chukyo/chukyo3/079/sonota/1412985.htm,4,2,journal/work-style-reform.html / research.html,公開前にHTTP到達・資料名・取得日を確認
A,一次資料・公的機関,未実施,www.mext.go.jp,https://www.mext.go.jp/content/20201120-mxt_zaimu-000011189_1.pdf,2,2,journal/work-style-reform.html / research.html,公開前にHTTP到達・資料名・取得日を確認
A,一次資料・公的機関,未実施,www.sangiin.go.jp,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/217/syup/s217019.pdf,2,2,journal/lpsa-art35.html / research.html,公開前にHTTP到達・資料名・取得日を確認
B,SNS・外部発信,未実施,www.youtube.com,https://www.youtube.com/@PTA%E9%81%A9%E6%AD%A3%E5%8C%96%E6%8E%A8%E9%80%B2%E5%A7%94%E5%93%A1%E4%BC%9A,52,52,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / data/site-config.json / disclosure.html / donate.html / edu-board-start.html,プロフィール・投稿・チャンネルの到達確認
B,SNS・外部発信,未実施,x.com,https://x.com/jjjqqqxxx0852,52,52,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / data/site-config.json / disclosure.html / donate.html / edu-board-start.html,プロフィール・投稿・チャンネルの到達確認
A,自治体・公的機関,未実施,yokomusubi.city.yokohama.lg.jp,https://yokomusubi.city.yokohama.lg.jp/organizations/detail/f69c7ad2-cf21-4dfa-87bb-9c891874eb6b/,52,52,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / data/site-config.json / disclosure.html / donate.html / edu-board-start.html,公開前にHTTP到達・資料名・取得日を確認
B,民間・団体・報道,未実施,zen-p.net,https://zen-p.net/tp/p301.html,4,2,journal/lpsa-art35.html / research.html,補助資料として位置付け、リンク切れ確認
B,民間・団体・報道,未実施,zen-p.net,https://zen-p.net/tp/p421.html,4,2,journal/lpsa-art35.html / research.html,補助資料として位置付け、リンク切れ確認
B,CDN・地図・フォント,未実施,{s}.tile.openstreetmap.org,https://{s}.tile.openstreetmap.org/{z}/{x}/{y}.png,1,1,js/board-responses.js,読み込み可否と外部依存リスクを確認
B,連絡先,未実施,,mailto:info@ptaorg.com,51,51,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / disclosure.html / donate.html / edu-board-start.html / evidence.html,メールアドレス。表示・送信先の正確性を確認
B,連絡先,未実施,,tel:07090127772,5,5,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html,電話番号。表示・発信先の正確性を確認
